Episode 193 finished after 200 timesteps, total reward: -200.0
Episode 194 finished after 200 timesteps, total reward: -200.0
Episode 195 finished after 200 timesteps, total reward: -200.0
Episode 196 finished after 200 timesteps, total reward: -200.0
Episode 197 finished after 200 timesteps, total reward: -200.0
Episode 198 finished after 200 timesteps, total reward: -200.0
Episode 199 finished after 200 timesteps, total reward: -200.0
Episode 200 finished after 200 timesteps, total reward: -200.0
Episode 201 finished after 200 timesteps, total reward: -200.0
Episode 202 finished after 200 timesteps, total reward: -200.0
Episode 203 finished after 200 timesteps, total reward: -200.0
Episode 204 finished after 200 timesteps, total reward: -200.0
Episode 205 finished after 200 timesteps, total reward: -200.0
Episode 206 finished after 200 timesteps, total reward: -200.0
Episode 207 finished after 200 timesteps, total reward: -200.0
Episode 208 finished after 200 timesteps, total reward: -200.0
Episode 209 finished after 200 timesteps, total reward: -200.0
Episode 210 finished after 200 timesteps, total reward: -200.0
Episode 211 finished after 200 timesteps, total reward: -200.0
Episode 212 finished after 200 timesteps, total reward: -200.0
Episode 213 finished after 200 timesteps, total reward: -200.0
Episode 214 finished after 200 timesteps, total reward: -200.0
Episode 215 finished after 200 timesteps, total reward: -200.0
Episode 216 finished after 200 timesteps, total reward: -200.0
Episode 217 finished after 200 timesteps, total reward: -200.0
Episode 218 finished after 200 timesteps, total reward: -200.0
Episode 219 finished after 200 timesteps, total reward: -200.0
Episode 220 finished after 200 timesteps, total reward: -200.0
Episode 221 finished after 200 timesteps, total reward: -200.0
Episode 222 finished after 200 timesteps, total reward: -200.0
Episode 223 finished after 200 timesteps, total reward: -200.0
Episode 224 finished after 200 timesteps, total reward: -200.0
Episode 225 finished after 200 timesteps, total reward: -200.0
Episode 226 finished after 200 timesteps, total reward: -200.0
Episode 227 finished after 200 timesteps, total reward: -200.0
Episode 228 finished after 200 timesteps, total reward: -200.0
Episode 229 finished after 200 timesteps, total reward: -200.0
Episode 230 finished after 200 timesteps, total reward: -200.0
Episode 231 finished after 200 timesteps, total reward: -200.0
Episode 232 finished after 200 timesteps, total reward: -200.0
Episode 233 finished after 200 timesteps, total reward: -200.0
Episode 234 finished after 200 timesteps, total reward: -200.0
Episode 235 finished after 200 timesteps, total reward: -200.0
Episode 236 finished after 200 timesteps, total reward: -200.0
Episode 237 finished after 200 timesteps, total reward: -200.0
Episode 238 finished after 200 timesteps, total reward: -200.0
Episode 239 finished after 200 timesteps, total reward: -200.0
Episode 240 finished after 200 timesteps, total reward: -200.0
Episode 241 finished after 200 timesteps, total reward: -200.0
Episode 242 finished after 200 timesteps, total reward: -200.0
Episode 243 finished after 200 timesteps, total reward: -200.0
Episode 244 finished after 200 timesteps, total reward: -200.0
Episode 245 finished after 200 timesteps, total reward: -200.0
Episode 246 finished after 200 timesteps, total reward: -200.0
Episode 247 finished after 200 timesteps, total reward: -200.0
Episode 248 finished after 200 timesteps, total reward: -200.0
Episode 249 finished after 200 timesteps, total reward: -200.0
Episode 250 finished after 200 timesteps, total reward: -200.0
Episode 251 finished after 200 timesteps, total reward: -200.0
Episode 252 finished after 200 timesteps, total reward: -200.0
Episode 253 finished after 200 timesteps, total reward: -200.0
Episode 254 finished after 200 timesteps, total reward: -200.0
Episode 255 finished after 200 timesteps, total reward: -200.0
Episode 256 finished after 200 timesteps, total reward: -200.0
Episode 257 finished after 200 timesteps, total reward: -200.0
Episode 258 finished after 200 timesteps, total reward: -200.0
Episode 259 finished after 200 timesteps, total reward: -200.0
Episode 260 finished after 200 timesteps, total reward: -200.0
Episode 261 finished after 200 timesteps, total reward: -200.0
Episode 262 finished after 200 timesteps, total reward: -200.0
Episode 263 finished after 200 timesteps, total reward: -200.0
Episode 264 finished after 200 timesteps, total reward: -200.0
Episode 265 finished after 200 timesteps, total reward: -200.0
Episode 266 finished after 200 timesteps, total reward: -200.0
Episode 267 finished after 200 timesteps, total reward: -200.0
Episode 268 finished after 200 timesteps, total reward: -200.0
Episode 269 finished after 200 timesteps, total reward: -200.0
Episode 270 finished after 200 timesteps, total reward: -200.0
Episode 271 finished after 200 timesteps, total reward: -200.0
Episode 272 finished after 200 timesteps, total reward: -200.0
Episode 273 finished after 200 timesteps, total reward: -200.0
Episode 274 finished after 200 timesteps, total reward: -200.0
Episode 275 finished after 200 timesteps, total reward: -200.0
Episode 276 finished after 200 timesteps, total reward: -200.0
Episode 277 finished after 200 timesteps, total reward: -200.0
Episode 278 finished after 200 timesteps, total reward: -200.0
Episode 279 finished after 200 timesteps, total reward: -200.0
Episode 280 finished after 200 timesteps, total reward: -200.0
Episode 281 finished after 200 timesteps, total reward: -200.0
Episode 282 finished after 200 timesteps, total reward: -200.0
Episode 283 finished after 200 timesteps, total reward: -200.0
Episode 284 finished after 200 timesteps, total reward: -200.0
Episode 285 finished after 200 timesteps, total reward: -200.0
Episode 286 finished after 200 timesteps, total reward: -200.0
Episode 287 finished after 200 timesteps, total reward: -200.0
Episode 288 finished after 200 timesteps, total reward: -200.0
Episode 289 finished after 200 timesteps, total reward: -200.0
Episode 290 finished after 200 timesteps, total reward: -200.0
Episode 291 finished after 200 timesteps, total reward: -200.0
Episode 292 finished after 200 timesteps, total reward: -200.0
Episode 293 finished after 200 timesteps, total reward: -200.0
Episode 294 finished after 200 timesteps, total reward: -200.0
Episode 295 finished after 200 timesteps, total reward: -200.0
Episode 296 finished after 200 timesteps, total reward: -200.0
Episode 297 finished after 200 timesteps, total reward: -200.0
Episode 298 finished after 200 timesteps, total reward: -200.0
Episode 299 finished after 200 timesteps, total reward: -200.0
Episode 300 finished after 200 timesteps, total reward: -200.0
Episode 301 finished after 200 timesteps, total reward: -200.0
Episode 302 finished after 200 timesteps, total reward: -200.0
Episode 303 finished after 200 timesteps, total reward: -200.0
Episode 304 finished after 200 timesteps, total reward: -200.0
Episode 305 finished after 200 timesteps, total reward: -200.0
Episode 306 finished after 200 timesteps, total reward: -200.0
Episode 307 finished after 200 timesteps, total reward: -200.0
Episode 308 finished after 200 timesteps, total reward: -200.0
Episode 309 finished after 200 timesteps, total reward: -200.0
Episode 310 finished after 200 timesteps, total reward: -200.0
Episode 311 finished after 200 timesteps, total reward: -200.0
Episode 312 finished after 195 timesteps, total reward: -195.0
Episode 313 finished after 200 timesteps, total reward: -200.0
Episode 314 finished after 200 timesteps, total reward: -200.0
Episode 315 finished after 200 timesteps, total reward: -200.0
Episode 316 finished after 200 timesteps, total reward: -200.0
Episode 317 finished after 200 timesteps, total reward: -200.0
Episode 318 finished after 200 timesteps, total reward: -200.0
Episode 319 finished after 200 timesteps, total reward: -200.0
Episode 320 finished after 200 timesteps, total reward: -200.0
Episode 321 finished after 200 timesteps, total reward: -200.0
Episode 322 finished after 200 timesteps, total reward: -200.0
Episode 323 finished after 200 timesteps, total reward: -200.0
Episode 324 finished after 200 timesteps, total reward: -200.0
Episode 325 finished after 200 timesteps, total reward: -200.0
Episode 326 finished after 200 timesteps, total reward: -200.0
Episode 327 finished after 200 timesteps, total reward: -200.0
Episode 328 finished after 200 timesteps, total reward: -200.0
Episode 329 finished after 200 timesteps, total reward: -200.0
Episode 330 finished after 200 timesteps, total reward: -200.0
Episode 331 finished after 200 timesteps, total reward: -200.0
Episode 332 finished after 200 timesteps, total reward: -200.0
Episode 333 finished after 200 timesteps, total reward: -200.0
Episode 334 finished after 200 timesteps, total reward: -200.0
Episode 335 finished after 200 timesteps, total reward: -200.0
Episode 336 finished after 200 timesteps, total reward: -200.0
Episode 337 finished after 200 timesteps, total reward: -200.0
Episode 338 finished after 200 timesteps, total reward: -200.0
Episode 339 finished after 200 timesteps, total reward: -200.0
Episode 340 finished after 200 timesteps, total reward: -200.0
Episode 341 finished after 200 timesteps, total reward: -200.0
Episode 342 finished after 187 timesteps, total reward: -187.0
Episode 343 finished after 192 timesteps, total reward: -192.0
Episode 344 finished after 167 timesteps, total reward: -167.0
Episode 345 finished after 200 timesteps, total reward: -200.0
Episode 346 finished after 200 timesteps, total reward: -200.0
Episode 347 finished after 200 timesteps, total reward: -200.0
Episode 348 finished after 200 timesteps, total reward: -200.0
Episode 349 finished after 200 timesteps, total reward: -200.0
Episode 350 finished after 200 timesteps, total reward: -200.0
Episode 351 finished after 200 timesteps, total reward: -200.0
Episode 352 finished after 200 timesteps, total reward: -200.0
Episode 353 finished after 200 timesteps, total reward: -200.0
Episode 354 finished after 200 timesteps, total reward: -200.0
Episode 355 finished after 200 timesteps, total reward: -200.0
Episode 356 finished after 200 timesteps, total reward: -200.0
Episode 357 finished after 200 timesteps, total reward: -200.0
Episode 358 finished after 200 timesteps, total reward: -200.0
Episode 359 finished after 200 timesteps, total reward: -200.0
Episode 360 finished after 200 timesteps, total reward: -200.0
Episode 361 finished after 200 timesteps, total reward: -200.0
Episode 362 finished after 200 timesteps, total reward: -200.0
Episode 363 finished after 200 timesteps, total reward: -200.0
