Episode 51 finished after 14 timesteps, total reward: 14.0
Episode 52 finished after 14 timesteps, total reward: 14.0
Episode 53 finished after 12 timesteps, total reward: 12.0
Episode 54 finished after 13 timesteps, total reward: 13.0
Episode 55 finished after 19 timesteps, total reward: 19.0
Episode 56 finished after 13 timesteps, total reward: 13.0
Episode 57 finished after 18 timesteps, total reward: 18.0
Episode 58 finished after 15 timesteps, total reward: 15.0
Episode 59 finished after 18 timesteps, total reward: 18.0
Episode 60 finished after 19 timesteps, total reward: 19.0
Episode 61 finished after 17 timesteps, total reward: 17.0
Episode 62 finished after 12 timesteps, total reward: 12.0
Episode 63 finished after 14 timesteps, total reward: 14.0
Episode 64 finished after 18 timesteps, total reward: 18.0
Episode 65 finished after 15 timesteps, total reward: 15.0
Episode 66 finished after 18 timesteps, total reward: 18.0
Episode 67 finished after 21 timesteps, total reward: 21.0
Episode 68 finished after 20 timesteps, total reward: 20.0
Episode 69 finished after 28 timesteps, total reward: 28.0
Episode 70 finished after 22 timesteps, total reward: 22.0
Episode 71 finished after 15 timesteps, total reward: 15.0
Episode 72 finished after 20 timesteps, total reward: 20.0
Episode 73 finished after 28 timesteps, total reward: 28.0
Episode 74 finished after 33 timesteps, total reward: 33.0
Episode 75 finished after 23 timesteps, total reward: 23.0
Episode 76 finished after 23 timesteps, total reward: 23.0
Episode 77 finished after 22 timesteps, total reward: 22.0
Episode 78 finished after 27 timesteps, total reward: 27.0
Episode 79 finished after 28 timesteps, total reward: 28.0
Episode 80 finished after 23 timesteps, total reward: 23.0
Episode 81 finished after 26 timesteps, total reward: 26.0
Episode 82 finished after 19 timesteps, total reward: 19.0
Episode 83 finished after 26 timesteps, total reward: 26.0
Episode 84 finished after 31 timesteps, total reward: 31.0
Episode 85 finished after 26 timesteps, total reward: 26.0
Episode 86 finished after 41 timesteps, total reward: 41.0
Episode 87 finished after 23 timesteps, total reward: 23.0
Episode 88 finished after 26 timesteps, total reward: 26.0
Episode 89 finished after 41 timesteps, total reward: 41.0
Episode 90 finished after 51 timesteps, total reward: 51.0
Episode 91 finished after 9 timesteps, total reward: 9.0
Episode 92 finished after 10 timesteps, total reward: 10.0
Episode 93 finished after 31 timesteps, total reward: 31.0
Episode 94 finished after 10 timesteps, total reward: 10.0
Episode 95 finished after 40 timesteps, total reward: 40.0
Episode 96 finished after 9 timesteps, total reward: 9.0
Episode 97 finished after 10 timesteps, total reward: 10.0
Episode 98 finished after 8 timesteps, total reward: 8.0
Episode 99 finished after 10 timesteps, total reward: 10.0
Episode 100 finished after 10 timesteps, total reward: 10.0
Episode 101 finished after 10 timesteps, total reward: 10.0
Episode 102 finished after 8 timesteps, total reward: 8.0
Episode 103 finished after 21 timesteps, total reward: 21.0
Episode 104 finished after 9 timesteps, total reward: 9.0
Episode 105 finished after 8 timesteps, total reward: 8.0
Episode 106 finished after 10 timesteps, total reward: 10.0
Episode 107 finished after 11 timesteps, total reward: 11.0
Episode 108 finished after 9 timesteps, total reward: 9.0
Episode 109 finished after 9 timesteps, total reward: 9.0
Episode 110 finished after 11 timesteps, total reward: 11.0
Episode 111 finished after 10 timesteps, total reward: 10.0
Episode 112 finished after 10 timesteps, total reward: 10.0
Episode 113 finished after 10 timesteps, total reward: 10.0
Episode 114 finished after 9 timesteps, total reward: 9.0
Episode 115 finished after 9 timesteps, total reward: 9.0
Episode 116 finished after 9 timesteps, total reward: 9.0
Episode 117 finished after 10 timesteps, total reward: 10.0
Episode 118 finished after 9 timesteps, total reward: 9.0
Episode 119 finished after 9 timesteps, total reward: 9.0
Episode 120 finished after 10 timesteps, total reward: 10.0
Episode 121 finished after 9 timesteps, total reward: 9.0
Episode 122 finished after 10 timesteps, total reward: 10.0
Episode 123 finished after 11 timesteps, total reward: 11.0
Episode 124 finished after 8 timesteps, total reward: 8.0
Episode 125 finished after 10 timesteps, total reward: 10.0
Episode 126 finished after 10 timesteps, total reward: 10.0
Episode 127 finished after 12 timesteps, total reward: 12.0
Episode 128 finished after 11 timesteps, total reward: 11.0
Episode 129 finished after 9 timesteps, total reward: 9.0
Episode 130 finished after 14 timesteps, total reward: 14.0
Episode 131 finished after 9 timesteps, total reward: 9.0
Episode 132 finished after 9 timesteps, total reward: 9.0
Episode 133 finished after 8 timesteps, total reward: 8.0
Episode 134 finished after 9 timesteps, total reward: 9.0
Episode 135 finished after 9 timesteps, total reward: 9.0
Episode 136 finished after 9 timesteps, total reward: 9.0
Episode 137 finished after 10 timesteps, total reward: 10.0
